Team name,Scoredhome,Conc.,Total,Scored,Conc.,Total,Scored,Conc.,Total,GP
ADO Den Haag,1.67,1.67,3.33,,1.00,0.50,1.50,,1.29,1.00,2.29,7
Cambuur,2.50,1.25,3.75,,2.00,2.33,4.33,,2.29,1.71,4.00,7
De Graafschap,0.67,0.67,1.33,,1.75,1.25,3.00,,1.29,1.00,2.29,7
FC Den Bosch,1.50,1.50,3.00,,0.67,2.67,3.33,,1.14,2.00,3.14,7
FC Dordrecht,1.75,1.75,3.50,,1.67,1.33,3.00,,1.71,1.57,3.29,7
FC Eindhoven,1.33,0.67,2.00,,0.67,0.33,1.00,,1.00,0.50,1.50,6
FC Emmen,2.00,2.00,4.00,,2.25,1.50,3.75,,2.14,1.71,3.86,7
FC Groningen,2.00,0.50,2.50,,1.33,0.67,2.00,,1.71,0.57,2.29,7
Helmond Sport,1.25,1.00,2.25,,1.00,2.67,3.67,,1.14,1.71,2.86,7
Jong Ajax,1.67,2.00,3.67,,1.50,3.75,5.25,,1.57,3.00,4.57,7
Jong AZ,2.25,0.75,3.00,,0.67,2.00,2.67,,1.57,1.29,2.86,7
Jong PSV,1.00,1.00,2.00,,1.00,3.00,4.00,,1.00,1.86,2.86,7
Jong Utrecht,1.67,0.67,2.33,,1.00,2.50,3.50,,1.29,1.71,3.00,7
MVV Maastricht,1.50,1.50,3.00,,2.00,2.00,4.00,,1.83,1.83,3.67,6
NAC Breda,1.33,2.33,3.67,,1.75,2.00,3.75,,1.57,2.14,3.71,7
Roda JC,3.25,0.50,3.75,,2.00,0.67,2.67,,2.71,0.57,3.29,7
Telstar,1.00,2.00,3.00,,0.50,2.00,2.50,,0.71,2.00,2.71,7
TOP Oss,1.33,1.33,2.67,,0.33,1.33,1.67,,0.83,1.33,2.17,6
VVV,2.50,1.25,3.75,,1.33,1.00,2.33,,2.00,1.14,3.14,7
Willem II,1.67,1.67,3.33,,0.33,0.67,1.00,,1.00,1.17,2.17,6
